0,Close(JPY/kWh),TotalTransactionVolume(im)(MWh/h),TransactionNumber
2016-04-01 00:00:00,7.69,0.7,1
2016-04-01 00:30:00,0.0,0.0,0
2016-04-01 01:00:00,7.21,0.8,1
2016-04-01 01:30:00,7.06,0.8,1
2016-04-01 02:00:00,7.21,0.8,1
2016-04-01 02:30:00,7.21,0.8,1
2016-04-01 03:00:00,7.21,0.8,1
2016-04-01 03:30:00,7.21,0.8,1
2016-04-01 04:00:00,7.06,0.8,1
2016-04-01 04:30:00,7.06,0.8,1
2016-04-01 05:00:00,7.21,0.8,1
2016-04-01 05:30:00,7.29,0.8,1
2016-04-01 06:00:00,7.67,0.7,2
2016-04-01 06:30:00,7.67,0.9,2
2016-04-01 07:00:00,7.92,0.7,1
2016-04-01 07:30:00,7.92,0.7,1
2016-04-01 08:00:00,5.0,1.2,2
2016-04-01 08:30:00,15.0,2.9,5
2016-04-01 09:00:00,9.0,0.9,2
2016-04-01 09:30:00,11.0,6.3,4
2016-04-01 10:00:00,5.0,0.9,2
2016-04-01 10:30:00,5.0,0.9,2
2016-04-01 11:00:00,8.0,11.2,7
2016-04-01 11:30:00,8.0,8.2,6
2016-04-01 12:00:00,8.0,2.6,8
2016-04-01 12:30:00,8.0,2.7,8
2016-04-01 13:00:00,8.0,2.5,7
2016-04-01 13:30:00,8.0,13.9,10
2016-04-01 14:00:00,8.18,13.0,7
2016-04-01 14:30:00,8.01,4.9,7
2016-04-01 15:00:00,8.0,6.2,8
2016-04-01 15:30:00,8.0,2.4,6
2016-04-01 16:00:00,8.0,1.1,4
2016-04-01 16:30:00,11.04,1.2,6
2016-04-01 17:00:00,8.0,1.5,5
2016-04-01 17:30:00,8.0,1.8,6
2016-04-01 18:00:00,12.0,1.0,2
2016-04-01 18:30:00,12.0,1.0,2
2016-04-01 19:00:00,8.5,1.3,4
2016-04-01 19:30:00,8.5,0.7,3
2016-04-01 20:00:00,8.5,0.7,3
2016-04-01 20:30:00,8.5,0.7,3
2016-04-01 21:00:00,10.0,1.0,3
2016-04-01 21:30:00,8.09,0.7,2
2016-04-01 22:00:00,7.99,0.7,1
2016-04-01 22:30:00,8.14,0.7,1
2016-04-01 23:00:00,8.14,0.7,1
2016-04-01 23:30:00,8.16,0.7,1
2016-04-02 00:00:00,7.5,0.7,1
2016-04-02 00:30:00,6.78,0.7,1
2016-04-02 01:00:00,0.0,0.0,0
2016-04-02 01:30:00,0.0,0.0,0
2016-04-02 02:00:00,0.0,0.0,0
2016-04-02 02:30:00,0.0,0.0,0
2016-04-02 03:00:00,0.0,0.0,0
2016-04-02 03:30:00,0.0,0.0,0
2016-04-02 04:00:00,0.0,0.0,0
2016-04-02 04:30:00,0.0,0.0,0
2016-04-02 05:00:00,0.0,0.0,0
2016-04-02 05:30:00,0.0,0.0,0
2016-04-02 06:00:00,0.0,0.0,0
2016-04-02 06:30:00,0.0,0.0,0
2016-04-02 07:00:00,0.0,0.0,0
2016-04-02 07:30:00,9.0,0.1,1
2016-04-02 08:00:00,6.0,0.3,2
2016-04-02 08:30:00,7.0,0.2,1
2016-04-02 09:00:00,7.72,0.8,2
2016-04-02 09:30:00,6.0,0.8,2
2016-04-02 10:00:00,6.0,0.8,2
2016-04-02 10:30:00,6.0,0.8,2
2016-04-02 11:00:00,6.0,0.8,2
2016-04-02 11:30:00,6.0,0.8,2
2016-04-02 12:00:00,6.0,0.8,2
2016-04-02 12:30:00,6.0,0.8,2
2016-04-02 13:00:00,6.0,0.6,2
2016-04-02 13:30:00,6.0,0.6,2
2016-04-02 14:00:00,6.0,0.6,2
2016-04-02 14:30:00,9.0,2.6,4
2016-04-02 15:00:00,6.0,0.6,2
2016-04-02 15:30:00,11.0,20.5,6
2016-04-02 16:00:00,7.72,0.5,2
2016-04-02 16:30:00,7.72,0.5,3
2016-04-02 17:00:00,8.0,22.7,9
2016-04-02 17:30:00,11.0,6.6,5
2016-04-02 18:00:00,8.0,0.6,3
2016-04-02 18:30:00,8.05,0.5,2
2016-04-02 19:00:00,7.71,0.5,2
2016-04-02 19:30:00,7.71,0.6,2
2016-04-02 20:00:00,8.0,0.7,3
2016-04-02 20:30:00,6.55,0.6,2
2016-04-02 21:00:00,6.16,0.6,1
2016-04-02 21:30:00,6.3,0.6,1
2016-04-02 22:00:00,6.4,11.6,3
2016-04-02 22:30:00,6.45,11.7,3
2016-04-02 23:00:00,6.44,10.7,2
2016-04-02 23:30:00,6.4,10.7,2
2016-04-03 00:00:00,0.0,0.0,0
2016-04-03 00:30:00,0.0,0.0,0
2016-04-03 01:00:00,0.0,0.0,0
2016-04-03 01:30:00,0.0,0.0,0
2016-04-03 02:00:00,0.0,0.0,0
2016-04-03 02:30:00,0.0,0.0,0
2016-04-03 03:00:00,0.0,0.0,0
2016-04-03 03:30:00,0.0,0.0,0
2016-04-03 04:00:00,0.0,0.0,0
2016-04-03 04:30:00,0.0,0.0,0
2016-04-03 05:00:00,0.0,0.0,0
2016-04-03 05:30:00,0.0,0.0,0
2016-04-03 06:00:00,0.0,0.0,0
2016-04-03 06:30:00,0.0,0.0,0
2016-04-03 07:00:00,8.0,0.1,1
2016-04-03 07:30:00,8.0,0.1,1
2016-04-03 08:00:00,8.0,0.1,1
2016-04-03 08:30:00,7.0,0.1,1
2016-04-03 09:00:00,7.0,0.1,1
2016-04-03 09:30:00,7.0,0.1,1
2016-04-03 10:00:00,7.0,0.1,1
2016-04-03 10:30:00,7.0,0.1,1
2016-04-03 11:00:00,7.0,0.1,1
2016-04-03 11:30:00,7.0,0.1,1
2016-04-03 12:00:00,6.63,0.1,1
2016-04-03 12:30:00,6.63,0.1,1
2016-04-03 13:00:00,6.63,0.1,1
2016-04-03 13:30:00,6.63,0.1,1
2016-04-03 14:00:00,7.0,0.1,1
2016-04-03 14:30:00,7.0,0.1,1
2016-04-03 15:00:00,6.84,0.7,2
2016-04-03 15:30:00,6.84,0.7,2
2016-04-03 16:00:00,6.84,0.8,2
2016-04-03 16:30:00,6.84,0.8,2
2016-04-03 17:00:00,6.84,0.8,2
2016-04-03 17:30:00,6.84,0.9,2
2016-04-03 18:00:00,8.29,0.2,2
2016-04-03 18:30:00,8.29,0.3,2
2016-04-03 19:00:00,8.29,0.2,2
2016-04-03 19:30:00,8.29,0.4,3
2016-04-03 20:00:00,7.29,0.2,2
2016-04-03 20:30:00,6.84,0.5,5
2016-04-03 21:00:00,8.0,0.1,1
2016-04-03 21:30:00,6.54,0.7,2
2016-04-03 22:00:00,0.0,0.0,0
2016-04-03 22:30:00,0.0,0.0,0
2016-04-03 23:00:00,0.0,0.0,0
2016-04-03 23:30:00,0.0,0.0,0
2016-04-04 00:00:00,0.0,0.0,0
2016-04-04 00:30:00,0.0,0.0,0
2016-04-04 01:00:00,0.0,0.0,0
2016-04-04 01:30:00,6.47,11.0,1
2016-04-04 02:00:00,0.0,0.0,0
2016-04-04 02:30:00,6.46,2.0,1
2016-04-04 03:00:00,6.51,2.0,1
2016-04-04 03:30:00,6.52,2.0,1
2016-04-04 04:00:00,6.54,12.0,1
2016-04-04 04:30:00,6.51,12.0,1
2016-04-04 05:00:00,6.6,12.0,1
2016-04-04 05:30:00,6.52,12.0,1
2016-04-04 06:00:00,6.56,15.1,2
2016-04-04 06:30:00,8.12,0.1,1
2016-04-04 07:00:00,8.12,0.1,1
2016-04-04 07:30:00,8.12,0.1,1
2016-04-04 08:00:00,8.12,0.2,1
2016-04-04 08:30:00,0.0,0.0,0
2016-04-04 09:00:00,0.0,0.0,0
2016-04-04 09:30:00,0.0,0.0,0
2016-04-04 10:00:00,0.0,0.0,0
2016-04-04 10:30:00,0.0,0.0,0
2016-04-04 11:00:00,0.0,0.0,0
2016-04-04 11:30:00,11.0,0.3,1
2016-04-04 12:00:00,8.5,0.4,2
2016-04-04 12:30:00,8.5,0.4,2
2016-04-04 13:00:00,10.0,0.4,2
2016-04-04 13:30:00,10.0,0.4,2
2016-04-04 14:00:00,10.0,0.4,2
2016-04-04 14:30:00,10.0,0.5,2
2016-04-04 15:00:00,10.0,0.5,2
2016-04-04 15:30:00,10.0,0.7,3
2016-04-04 16:00:00,10.0,0.7,3
2016-04-04 16:30:00,10.0,0.4,1
2016-04-04 17:00:00,10.0,0.4,1
2016-04-04 17:30:00,10.0,0.4,1
2016-04-04 18:00:00,0.0,0.0,0
2016-04-04 18:30:00,0.0,0.0,0
2016-04-04 19:00:00,0.0,0.0,0
2016-04-04 19:30:00,8.5,0.1,1
2016-04-04 20:00:00,8.5,0.1,1
2016-04-04 20:30:00,0.0,0.0,0
2016-04-04 21:00:00,0.0,0.0,0
2016-04-04 21:30:00,7.0,0.2,2
2016-04-04 22:00:00,7.0,0.2,2
2016-04-04 22:30:00,7.0,0.3,3
2016-04-04 23:00:00,7.0,0.2,2
2016-04-04 23:30:00,7.0,0.2,2
2016-04-05 00:00:00,7.0,0.2,2
2016-04-05 00:30:00,7.0,0.2,2
2016-04-05 01:00:00,7.0,0.2,2
2016-04-05 01:30:00,7.0,0.2,2
2016-04-05 02:00:00,7.0,0.2,2
2016-04-05 02:30:00,6.43,9.1,2
2016-04-05 03:00:00,6.48,9.1,2
2016-04-05 03:30:00,6.52,9.2,2
2016-04-05 04:00:00,6.51,9.2,2
2016-04-05 04:30:00,6.53,9.2,2
2016-04-05 05:00:00,6.46,9.2,2
2016-04-05 05:30:00,7.26,0.3,1
2016-04-05 06:00:00,0.0,0.0,0
2016-04-05 06:30:00,0.0,0.0,0
2016-04-05 07:00:00,8.0,0.1,1
2016-04-05 07:30:00,8.0,0.2,2
2016-04-05 08:00:00,6.49,0.6,2
2016-04-05 08:30:00,6.23,0.5,2
