0,EreaPriceTokyo(JPY/kWh)
2016-04-01 00:00:00,6.69
2016-04-01 00:30:00,6.34
2016-04-01 01:00:00,6.34
2016-04-01 01:30:00,6.03
2016-04-01 02:00:00,6.57
2016-04-01 02:30:00,6.57
2016-04-01 03:00:00,6.57
2016-04-01 03:30:00,6.57
2016-04-01 04:00:00,6.57
2016-04-01 04:30:00,6.57
2016-04-01 05:00:00,6.57
2016-04-01 05:30:00,6.57
2016-04-01 06:00:00,6.69
2016-04-01 06:30:00,6.69
2016-04-01 07:00:00,6.99
2016-04-01 07:30:00,6.99
2016-04-01 08:00:00,7.59
2016-04-01 08:30:00,7.93
2016-04-01 09:00:00,9.64
2016-04-01 09:30:00,9.69
2016-04-01 10:00:00,9.69
2016-04-01 10:30:00,9.69
2016-04-01 11:00:00,9.69
2016-04-01 11:30:00,9.69
2016-04-01 12:00:00,7.05
2016-04-01 12:30:00,6.51
2016-04-01 13:00:00,9.69
2016-04-01 13:30:00,9.69
2016-04-01 14:00:00,9.69
2016-04-01 14:30:00,9.69
2016-04-01 15:00:00,9.69
2016-04-01 15:30:00,10.26
2016-04-01 16:00:00,10.5
2016-04-01 16:30:00,10.5
2016-04-01 17:00:00,10.4
2016-04-01 17:30:00,10.03
2016-04-01 18:00:00,9.69
2016-04-01 18:30:00,9.69
2016-04-01 19:00:00,9.66
2016-04-01 19:30:00,9.36
2016-04-01 20:00:00,7.59
2016-04-01 20:30:00,7.59
2016-04-01 21:00:00,7.37
2016-04-01 21:30:00,7.37
2016-04-01 22:00:00,6.99
2016-04-01 22:30:00,7.23
2016-04-01 23:00:00,6.99
2016-04-01 23:30:00,6.99
2016-04-02 00:00:00,7.5
2016-04-02 00:30:00,6.78
2016-04-02 01:00:00,6.03
2016-04-02 01:30:00,5.92
2016-04-02 02:00:00,5.87
2016-04-02 02:30:00,5.87
2016-04-02 03:00:00,6.03
2016-04-02 03:30:00,5.87
2016-04-02 04:00:00,5.87
2016-04-02 04:30:00,5.87
2016-04-02 05:00:00,5.66
2016-04-02 05:30:00,6.03
2016-04-02 06:00:00,6.52
2016-04-02 06:30:00,6.41
2016-04-02 07:00:00,6.33
2016-04-02 07:30:00,6.24
2016-04-02 08:00:00,5.68
2016-04-02 08:30:00,6.58
2016-04-02 09:00:00,7.23
2016-04-02 09:30:00,7.49
2016-04-02 10:00:00,6.78
2016-04-02 10:30:00,6.58
2016-04-02 11:00:00,7.2
2016-04-02 11:30:00,6.16
2016-04-02 12:00:00,6.12
2016-04-02 12:30:00,6.16
2016-04-02 13:00:00,6.78
2016-04-02 13:30:00,6.65
2016-04-02 14:00:00,6.64
2016-04-02 14:30:00,6.78
2016-04-02 15:00:00,6.58
2016-04-02 15:30:00,6.78
2016-04-02 16:00:00,7.23
2016-04-02 16:30:00,7.23
2016-04-02 17:00:00,7.49
2016-04-02 17:30:00,7.49
2016-04-02 18:00:00,7.67
2016-04-02 18:30:00,7.71
2016-04-02 19:00:00,7.71
2016-04-02 19:30:00,7.71
2016-04-02 20:00:00,7.31
2016-04-02 20:30:00,6.55
2016-04-02 21:00:00,6.16
2016-04-02 21:30:00,6.3
2016-04-02 22:00:00,7.49
2016-04-02 22:30:00,7.49
2016-04-02 23:00:00,6.82
2016-04-02 23:30:00,7.49
2016-04-03 00:00:00,6.76
2016-04-03 00:30:00,6.58
2016-04-03 01:00:00,6.43
2016-04-03 01:30:00,6.46
2016-04-03 02:00:00,5.49
2016-04-03 02:30:00,5.49
2016-04-03 03:00:00,5.49
2016-04-03 03:30:00,5.41
2016-04-03 04:00:00,5.41
2016-04-03 04:30:00,5.41
2016-04-03 05:00:00,5.49
2016-04-03 05:30:00,6.14
2016-04-03 06:00:00,6.33
2016-04-03 06:30:00,6.21
2016-04-03 07:00:00,5.49
2016-04-03 07:30:00,5.41
2016-04-03 08:00:00,5.41
2016-04-03 08:30:00,5.41
2016-04-03 09:00:00,5.73
2016-04-03 09:30:00,6.03
2016-04-03 10:00:00,6.13
2016-04-03 10:30:00,6.13
2016-04-03 11:00:00,6.46
2016-04-03 11:30:00,6.46
2016-04-03 12:00:00,6.58
2016-04-03 12:30:00,6.58
2016-04-03 13:00:00,6.71
2016-04-03 13:30:00,6.71
2016-04-03 14:00:00,6.71
2016-04-03 14:30:00,6.71
2016-04-03 15:00:00,6.71
2016-04-03 15:30:00,6.71
2016-04-03 16:00:00,6.71
2016-04-03 16:30:00,6.71
2016-04-03 17:00:00,6.71
2016-04-03 17:30:00,6.71
2016-04-03 18:00:00,8.16
2016-04-03 18:30:00,8.16
2016-04-03 19:00:00,8.16
2016-04-03 19:30:00,8.16
2016-04-03 20:00:00,7.16
2016-04-03 20:30:00,6.71
2016-04-03 21:00:00,6.45
2016-04-03 21:30:00,6.41
2016-04-03 22:00:00,6.33
2016-04-03 22:30:00,6.04
2016-04-03 23:00:00,6.58
2016-04-03 23:30:00,6.58
2016-04-04 00:00:00,6.58
2016-04-04 00:30:00,6.46
2016-04-04 01:00:00,6.55
2016-04-04 01:30:00,6.58
2016-04-04 02:00:00,6.46
2016-04-04 02:30:00,6.46
2016-04-04 03:00:00,6.55
2016-04-04 03:30:00,6.58
2016-04-04 04:00:00,6.46
2016-04-04 04:30:00,6.46
2016-04-04 05:00:00,6.46
2016-04-04 05:30:00,6.52
2016-04-04 06:00:00,6.58
2016-04-04 06:30:00,6.58
2016-04-04 07:00:00,6.58
2016-04-04 07:30:00,6.99
2016-04-04 08:00:00,7.83
2016-04-04 08:30:00,8.4
2016-04-04 09:00:00,10.71
2016-04-04 09:30:00,10.75
2016-04-04 10:00:00,10.51
2016-04-04 10:30:00,10.75
2016-04-04 11:00:00,10.5
2016-04-04 11:30:00,9.69
2016-04-04 12:00:00,8.33
2016-04-04 12:30:00,7.83
2016-04-04 13:00:00,9.69
2016-04-04 13:30:00,9.68
2016-04-04 14:00:00,9.66
2016-04-04 14:30:00,9.68
2016-04-04 15:00:00,9.58
2016-04-04 15:30:00,9.64
2016-04-04 16:00:00,9.8
2016-04-04 16:30:00,9.71
2016-04-04 17:00:00,9.68
2016-04-04 17:30:00,9.64
2016-04-04 18:00:00,9.36
