datetime,month,weekday,day,hour,Consumption,Temperature,Kosuiryo(mm),Nisha(MJ/m2),Sitsudo(%),Close(JPY/kWh),ShortVolume(kWh),LongVolume(kWh),EreaPriceTokyo(JPY/kWh)
2016-04-01 00:00:00,4,4,1,0,2555,14.5,0.0,0.0,68.0,3.845,5349250.0,2179750.0,6.515000000000001
2016-04-01 01:00:00,4,4,1,1,2433,13.3,0.0,0.0,76.0,7.135,5623250.0,2210750.0,6.1850000000000005
2016-04-01 02:00:00,4,4,1,2,2393,13.8,0.0,0.0,72.0,7.21,5458750.0,2187500.0,6.57
2016-04-01 03:00:00,4,4,1,3,2375,13.0,0.0,0.0,63.0,7.21,5446750.0,2240000.0,6.57
2016-04-01 04:00:00,4,4,1,4,2390,12.2,0.0,0.0,67.0,7.06,5668500.0,2272750.0,6.57
2016-04-01 05:00:00,4,4,1,5,2467,11.2,0.0,0.0,69.0,7.25,5237500.0,2276250.0,6.57
2016-04-01 06:00:00,4,4,1,6,2631,10.8,0.0,0.03,67.0,7.67,5309750.0,2321500.0,6.69
2016-04-01 07:00:00,4,4,1,7,2775,12.1,0.0,0.44,56.0,7.92,5339000.0,2445000.0,6.99
2016-04-01 08:00:00,4,4,1,8,2965,13.8,0.0,0.95,50.0,10.0,6184250.0,2857500.0,7.76
2016-04-01 09:00:00,4,4,1,9,3159,15.3,0.0,1.81,45.0,10.0,6235000.0,3208750.0,9.665
2016-04-01 10:00:00,4,4,1,10,3211,16.7,0.0,2.07,44.0,5.0,6059000.0,3381750.0,9.69
2016-04-01 11:00:00,4,4,1,11,3265,16.9,0.0,2.04,43.0,8.0,6409250.0,3258500.0,9.69
2016-04-01 12:00:00,4,4,1,12,3160,17.2,0.0,2.38,47.0,8.0,7930250.0,2823750.0,6.779999999999999
2016-04-01 13:00:00,4,4,1,13,3288,17.0,0.0,1.99,48.0,8.0,6341750.0,3227000.0,9.69
2016-04-01 14:00:00,4,4,1,14,3361,15.7,0.0,1.14,49.0,8.094999999999999,5764750.0,3367000.0,9.69
2016-04-01 15:00:00,4,4,1,15,3362,14.3,0.0,0.84,58.0,8.0,5408000.0,3371000.0,9.975
2016-04-01 16:00:00,4,4,1,16,3406,13.0,0.0,0.39,61.0,9.52,4497250.0,3408000.0,10.5
2016-04-01 17:00:00,4,4,1,17,3438,12.2,0.0,0.25,65.0,8.0,3139500.0,3105500.0,10.215
2016-04-01 18:00:00,4,4,1,18,3501,11.4,0.0,0.05,67.0,12.0,2806250.0,2988500.0,9.69
2016-04-01 19:00:00,4,4,1,19,3381,11.1,0.0,0.0,68.0,8.5,2772250.0,2915500.0,9.51
2016-04-01 20:00:00,4,4,1,20,3242,10.9,0.0,0.0,63.0,8.5,3510250.0,2719000.0,7.59
2016-04-01 21:00:00,4,4,1,21,3084,9.5,0.0,0.0,81.0,9.045,3810250.0,2763500.0,7.37
2016-04-01 22:00:00,4,4,1,22,2973,8.5,1.5,0.0,83.0,8.065000000000001,3235250.0,2600500.0,7.11
2016-04-01 23:00:00,4,4,1,23,2811,8.2,1.0,0.0,82.0,8.15,3422250.0,2406250.0,6.99
2016-04-02 00:00:00,4,5,2,0,2613,8.4,0.0,0.0,80.0,7.140000000000001,2672500.0,2245250.0,7.140000000000001
2016-04-02 01:00:00,4,5,2,1,2492,8.2,1.0,0.0,81.0,0.0,3370500.0,2256500.0,5.975
2016-04-02 02:00:00,4,5,2,2,2431,8.1,0.0,0.0,78.0,0.0,3576250.0,2248500.0,5.87
2016-04-02 03:00:00,4,5,2,3,2403,8.4,0.5,0.0,76.0,0.0,3542000.0,2378000.0,5.95
2016-04-02 04:00:00,4,5,2,4,2390,8.8,0.0,0.0,72.0,0.0,3708500.0,2389750.0,5.87
2016-04-02 05:00:00,4,5,2,5,2432,8.8,0.0,0.0,69.0,0.0,3704750.0,2336750.0,5.845000000000001
2016-04-02 06:00:00,4,5,2,6,2543,8.9,0.0,0.0,67.0,0.0,3835500.0,2294250.0,6.465
2016-04-02 07:00:00,4,5,2,7,2734,9.2,0.0,0.04,61.0,4.5,4174250.0,2346000.0,6.285
2016-04-02 08:00:00,4,5,2,8,3019,9.7,0.0,0.2,61.0,6.5,4306000.0,2402500.0,6.13
2016-04-02 09:00:00,4,5,2,9,3225,9.8,0.0,0.25,62.0,6.859999999999999,4701500.0,2667500.0,7.36
2016-04-02 10:00:00,4,5,2,10,3258,10.1,0.0,0.33,62.0,6.0,4822750.0,2882500.0,6.68
2016-04-02 11:00:00,4,5,2,11,3239,10.4,0.0,0.52,61.0,6.0,4391250.0,2785250.0,6.68
2016-04-02 12:00:00,4,5,2,12,3167,10.8,0.0,0.6,62.0,6.0,5150750.0,2586000.0,6.140000000000001
2016-04-02 13:00:00,4,5,2,13,3112,11.5,0.0,0.52,57.0,6.0,5111000.0,2764000.0,6.715
2016-04-02 14:00:00,4,5,2,14,3049,12.1,0.0,0.52,59.0,7.5,5568750.0,2874750.0,6.71
2016-04-02 15:00:00,4,5,2,15,3043,12.7,0.0,0.57,57.0,8.5,5349750.0,2857250.0,6.68
2016-04-02 16:00:00,4,5,2,16,3098,12.7,0.0,0.43,58.0,7.72,4252750.0,2950500.0,7.23
2016-04-02 17:00:00,4,5,2,17,3216,12.6,0.0,0.11,63.0,9.5,3175250.0,2795000.0,7.49
2016-04-02 18:00:00,4,5,2,18,3328,12.2,0.0,0.02,66.0,8.025,3271000.0,2903000.0,7.6899999999999995
2016-04-02 19:00:00,4,5,2,19,3276,11.9,0.0,0.0,67.0,7.71,3444750.0,2883500.0,7.71
2016-04-02 20:00:00,4,5,2,20,3173,11.5,0.0,0.0,66.0,7.275,3710000.0,2685500.0,6.93
