date,TimeCode,Open(JPY/kWh),High(JPY/kWh),Low(JPY/kWh),Close(JPY/kWh),Average(JPY/kWh),TotalTransactionVolume(MWh/h),TransactionNumber
2018/04/01,1,6.5,8.63,6.28,6.28,7.62,58.8,65
2018/04/01,2,6.82,11.24,5.14,8.63,7.52,54,64
2018/04/01,3,5,11.34,5,8.63,7.5,57.3,68
2018/04/01,4,5.5,8.63,5.5,8.63,7.56,63,68
2018/04/01,5,6.4,9.84,6.09,7.08,6.89,61.6,70
2018/04/01,6,5.5,9.98,5.43,8.63,7.83,59.7,64
2018/04/01,7,5.5,10.24,5.5,8.63,7.77,60.7,72
2018/04/01,8,5.5,10.5,5.5,8.63,7.63,66,75
2018/04/01,9,5.5,10.57,5.5,7.08,7.08,76.6,68
2018/04/01,10,5,10.31,5,7.08,7.05,66,66
2018/04/01,11,4.2,10.16,4.2,7.08,7,61.4,66
2018/04/01,12,7.08,9.88,6.13,7.08,7.01,60.9,71
2018/04/01,13,6.29,11.11,4.93,7.89,7.21,61,65
2018/04/01,14,8.94,10.95,4.39,5.75,6.8,51.8,66
2018/04/01,15,5.55,10.95,5.25,5.62,6.43,86,72
2018/04/01,16,5.07,10.95,3.82,7.98,6.2,35.6,64
2018/04/01,17,5.05,9.22,3.37,8.32,5.4,34.6,67
2018/04/01,18,5.55,9.88,3.59,6,5.65,49.3,66
2018/04/01,19,5.07,10,3.18,5.57,5.41,53,69
2018/04/01,20,5.67,10.1,3.19,7.95,5.58,42.9,68
2018/04/01,21,4.3,9.2,3.2,5,4.78,77.5,71
2018/04/01,22,3.79,8.7,3.5,4.66,4.36,97,73
2018/04/01,23,3.79,8.6,3.73,5.24,4.36,93.8,67
2018/04/01,24,3.79,9.8,3.73,4.66,4.35,93.8,71
2018/04/01,25,3.72,8.07,2.4,4.3,4.41,125.3,80
2018/04/01,26,3.72,8.02,2.3,3.7,4.39,123.4,80
2018/04/01,27,3.72,8.06,2.9,3.52,4.38,120.9,87
2018/04/01,28,3.72,8.79,2.9,8.79,4.57,114,85
2018/04/01,29,7.93,7.93,2.9,5.59,4.63,50.6,73
2018/04/01,30,7.64,9.39,2.9,6.9,4.83,47,85
2018/04/01,31,5,8.26,3.1,8.26,5.48,72.5,84
2018/04/01,32,9.46,9.91,3,8.68,5.73,97.3,80
2018/04/01,33,9.72,10.6,3.72,5.62,5.86,84,83
2018/04/01,34,5.68,13,4.15,6.45,6.54,84.8,82
2018/04/01,35,5.98,13,4.69,6.68,7.64,60.7,77
2018/04/01,36,12.24,13.97,5.91,7.88,8.13,95.3,77
2018/04/01,37,12.75,14.58,5.97,8.98,8.5,113.6,91
2018/04/01,38,11.06,15,6.52,9.35,9.17,106.9,88
2018/04/01,39,11.1,14.76,8.05,9.12,9.15,85.2,81
2018/04/01,40,11.22,14.48,7.21,8.88,8.87,83.3,84
2018/04/01,41,11.1,13.2,6.86,8.86,8.69,79,84
2018/04/01,42,8.49,12.8,6.2,8.79,8.84,93.9,89
2018/04/01,43,7.68,12.48,4.9,8.7,8.66,99.5,95
2018/04/01,44,10.49,10.49,4.4,7.77,7.74,97,84
2018/04/01,45,8.46,9.44,5.71,7.71,7.9,52.1,81
2018/04/01,46,7.58,9.36,3.3,7.21,7.28,62.4,81
2018/04/01,47,9.92,9.92,5.75,5.75,6.65,100.2,91
2018/04/01,48,6.76,11,5.18,5.93,6.37,102.6,78
2018/04/02,1,6.57,9.83,3.9,8.76,7.73,58,55
2018/04/02,2,9.43,9.5,3.6,6.44,7,81.9,68
2018/04/02,3,9.44,9.44,3.6,6.43,6.53,88,68
2018/04/02,4,9.64,9.64,3.4,6.42,6.43,87.9,64
2018/04/02,5,9.55,9.94,3.8,6.43,6.46,74.8,56
2018/04/02,6,9.56,9.94,3.8,9.94,6.59,73.2,60
2018/04/02,7,9.86,9.94,4.4,9.94,6.53,75.8,64
2018/04/02,8,10.13,10.13,4.4,7.08,6.84,161.4,70
2018/04/02,9,10.35,10.35,4.4,5.39,6.6,77.5,67
2018/04/02,10,10.03,10.03,4.4,7.68,6.59,74,67
2018/04/02,11,10.01,10.01,4.7,7.12,6.88,87.1,70
2018/04/02,12,7.76,7.89,4.6,7.89,6.8,70.2,73
2018/04/02,13,9.82,9.82,4.8,7.22,7.01,66.8,65
2018/04/02,14,9.16,9.92,4.9,6.17,8.18,75.8,73
2018/04/02,15,9.4,10.09,5.44,10.09,7.32,65.8,71
2018/04/02,16,9.89,14,6.72,7.95,7.87,70.3,74
2018/04/02,17,9.03,15,3.83,15,7.09,73.9,74
2018/04/02,18,5.3,17.86,5.3,15,8.64,88.9,66
2018/04/02,19,9.07,16,3.84,6.84,6.96,74.5,63
2018/04/02,20,8.21,14.2,4.25,10.88,7.35,85.5,84
2018/04/02,21,3.9,15,3.84,6.39,6.42,73.8,66
2018/04/02,22,8.4,11.33,3.84,6.44,6.36,87.5,66
2018/04/02,23,8.52,11.14,3.84,6.42,6.24,91.3,68
2018/04/02,24,5.75,11.12,3.7,6.39,6.4,157.3,81
2018/04/02,25,7.99,10.02,2.4,6.97,5.38,84.2,78
2018/04/02,26,8.01,12.11,2.58,12.11,5.47,88.2,86
2018/04/02,27,6.18,11.45,4.1,6.45,7.37,414.6,119
2018/04/02,28,8.49,11.45,3.84,7.03,6.55,80.1,78
2018/04/02,29,9.9,11.21,3.84,8.42,7.24,98.2,90
2018/04/02,30,9.77,15.1,3.84,15.1,7.4,105,85
2018/04/02,31,6.18,13.19,3.84,9.96,7.3,98.1,82
2018/04/02,32,10,13.87,3.92,6.25,7.71,105.6,88
2018/04/02,33,10,14.32,4.75,10.2,8.16,118.3,91
2018/04/02,34,10,14.53,4.78,9.38,8.18,112.8,98
2018/04/02,35,10,14.6,5.33,8.4,8.94,95.2,106
2018/04/02,36,10,14.77,7.55,9.19,9.26,89.3,96
2018/04/02,37,10,15,8.7,10.73,9.61,74.5,89
2018/04/02,38,10,14.89,7.64,9.19,9.51,71.8,98
2018/04/02,39,10,14.92,6.15,10.3,9.01,86.5,94
2018/04/02,40,10,13.1,5.4,8.93,8.52,81,91
2018/04/02,41,10,12.1,5.9,8.83,8.14,96,92
2018/04/02,42,10,12,5.4,5.68,7.93,100.4,101
2018/04/02,43,10,12.8,5.69,5.69,8.09,103.5,111
2018/04/02,44,10,11,5.5,6.05,8.18,107.2,96
2018/04/02,45,11.25,11.25,5.62,5.62,8.67,84.5,121
2018/04/02,46,11.63,11.63,5.5,8.66,8.36,84.7,108
2018/04/02,47,11.33,11.33,6.04,8.64,8.1,91.7,122
2018/04/02,48,7.18,10.02,4.5,8.24,7.56,87,77
2018/04/03,1,7,7.44,4.4,5.62,6.71,59.2,82
2018/04/03,2,9.65,9.65,3.5,5.62,6.29,58.5,78
2018/04/03,3,9.73,10.95,3.2,6.82,6.63,64.7,81
2018/04/03,4,9.9,10.95,2.8,5.64,6.52,54.5,70
2018/04/03,5,9.94,9.94,3.6,5.91,6.53,86,83
2018/04/03,6,9.9,9.9,3.6,5.89,6.53,87.1,84
2018/04/03,7,10.33,10.33,3.6,5.99,6.57,105,84
2018/04/03,8,10.77,10.77,3.9,6.12,6.96,83.1,82
2018/04/03,9,11.04,11.04,6.17,7.08,6.92,89.6,77
2018/04/03,10,10.71,10.71,4.8,5.92,6.57,125.3,78
2018/04/03,11,10.83,10.83,5.92,5.92,7.08,80.8,76
2018/04/03,12,10.51,12.3,5.5,7.08,7.34,89.7,81
2018/04/03,13,10.46,10.46,5.3,6.53,7.76,69.6,78
2018/04/03,14,6.86,9.52,5.91,5.91,6.85,76,84
2018/04/03,15,7.65,15.2,4.3,7.4,7.29,76.3,81
2018/04/03,16,8.57,20,3.8,7.84,7.08,83.8,90
2018/04/03,17,7.64,19.42,3.2,9.1,6.57,83.2,83
2018/04/03,18,8.48,20,5.52,9.27,7.69,88.7,79
2018/04/03,19,8.75,20,3.8,6.02,7.15,104.6,83
2018/04/03,20,7.3,15,3.8,6.5,6.61,102.4,81
2018/04/03,21,5.19,15,3.1,6.49,6.51,105.1,88
2018/04/03,22,6.97,15,5,6.41,6.15,110.2,92
2018/04/03,23,6.98,15,3.4,6.41,6.13,102.2,92
2018/04/03,24,6.54,11,3.1,5.9,5.91,95,87
