0,Open(JPY/kWh),High(JPY/kWh),Low(JPY/kWh),Close(JPY/kWh),Average(JPY/kWh),TotalTransactionVolume(MWh/h),TransactionNumber
2016-04-01 00:00:00,7.69,7.69,7.69,7.69,7.69,0.7,1
2016-04-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-01 01:00:00,7.21,7.21,7.21,7.21,7.21,0.8,1
2016-04-01 01:30:00,7.06,7.06,7.06,7.06,7.06,0.8,1
2016-04-01 02:00:00,7.21,7.21,7.21,7.21,7.21,0.8,1
2016-04-01 02:30:00,7.21,7.21,7.21,7.21,7.21,0.8,1
2016-04-01 03:00:00,7.21,7.21,7.21,7.21,7.21,0.8,1
2016-04-01 03:30:00,7.21,7.21,7.21,7.21,7.21,0.8,1
2016-04-01 04:00:00,7.06,7.06,7.06,7.06,7.06,0.8,1
2016-04-01 04:30:00,7.06,7.06,7.06,7.06,7.06,0.8,1
2016-04-01 05:00:00,7.21,7.21,7.21,7.21,7.21,0.8,1
2016-04-01 05:30:00,7.29,7.29,7.29,7.29,7.29,0.8,1
2016-04-01 06:00:00,11.0,11.0,7.67,7.67,8.62,0.7,2
2016-04-01 06:30:00,6.0,7.67,6.0,7.67,7.3,0.9,2
2016-04-01 07:00:00,7.92,7.92,7.92,7.92,7.92,0.7,1
2016-04-01 07:30:00,7.92,7.92,7.92,7.92,7.92,0.7,1
2016-04-01 08:00:00,7.92,7.92,5.0,5.0,6.7,1.2,2
2016-04-01 08:30:00,8.0,15.0,5.0,15.0,8.79,2.9,5
2016-04-01 09:00:00,9.77,9.77,9.0,9.0,9.51,0.9,2
2016-04-01 09:30:00,9.82,12.0,9.0,11.0,10.95,6.3,4
2016-04-01 10:00:00,9.82,9.82,5.0,5.0,8.21,0.9,2
2016-04-01 10:30:00,9.82,9.82,5.0,5.0,8.21,0.9,2
2016-04-01 11:00:00,9.82,15.0,8.0,8.0,13.76,11.2,7
2016-04-01 11:30:00,9.82,9.82,5.0,8.0,8.01,8.2,6
2016-04-01 12:00:00,6.0,11.0,6.0,8.0,8.18,2.6,8
2016-04-01 12:30:00,6.0,11.0,6.0,8.0,8.16,2.7,8
2016-04-01 13:00:00,5.0,12.0,5.0,8.0,8.6,2.5,7
2016-04-01 13:30:00,5.0,15.0,5.0,8.0,12.97,13.9,10
2016-04-01 14:00:00,5.0,15.0,5.0,8.18,13.29,13.0,7
2016-04-01 14:30:00,9.82,12.0,7.5,8.01,10.81,4.9,7
2016-04-01 15:00:00,11.0,11.0,8.0,8.0,8.25,6.2,8
2016-04-01 15:30:00,6.0,10.39,5.0,8.0,7.97,2.4,6
2016-04-01 16:00:00,11.0,11.0,5.0,8.0,8.44,1.1,4
2016-04-01 16:30:00,11.0,11.04,5.0,11.04,8.6,1.2,6
2016-04-01 17:00:00,10.53,12.0,5.0,8.0,9.28,1.5,5
2016-04-01 17:30:00,6.0,12.0,6.0,8.0,9.78,1.8,6
2016-04-01 18:00:00,9.82,12.0,9.82,12.0,10.69,1.0,2
2016-04-01 18:30:00,9.82,12.0,9.82,12.0,10.69,1.0,2
2016-04-01 19:00:00,9.79,12.0,8.5,8.5,10.71,1.3,4
2016-04-01 19:30:00,9.49,9.49,8.5,8.5,9.35,0.7,3
2016-04-01 20:00:00,11.0,11.0,8.14,8.5,10.23,0.7,3
2016-04-01 20:30:00,11.0,11.0,8.14,8.5,9.83,0.7,3
2016-04-01 21:00:00,11.0,11.0,8.05,10.0,9.52,1.0,3
2016-04-01 21:30:00,11.0,11.0,8.09,8.09,8.92,0.7,2
2016-04-01 22:00:00,7.99,7.99,7.99,7.99,7.99,0.7,1
2016-04-01 22:30:00,8.14,8.14,8.14,8.14,8.14,0.7,1
2016-04-01 23:00:00,8.14,8.14,8.14,8.14,8.14,0.7,1
2016-04-01 23:30:00,8.16,8.16,8.16,8.16,8.16,0.7,1
2016-04-02 00:00:00,7.5,7.5,7.5,7.5,7.5,0.7,1
2016-04-02 00:30:00,6.78,6.78,6.78,6.78,6.78,0.7,1
2016-04-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04-02 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0
